id_dokter,nama_dokter,spesialisasi,biaya_konsultasi,nomor_izin_praktek
DKT-049,"Sari Fujiati, M.Ak",Penyakit Dalam,50000,STR-769883
DKT-050,Indra Mayasari,Anak,40000,STR-436467
DKT-051,Galiono Utami,Anak,40000,STR-301898
DKT-052,Ir. Bella Zulkarnain,Penyakit Dalam,50000,STR-390088
DKT-053,"Dr. Maya Saefullah, S.Ked",Jantung,80000,STR-434652
DKT-054,"R.A. Dalima Prasetyo, M.Farm",Mata,45000,STR-562543
DKT-055,"Bagas Pertiwi, S.H.",Saraf,70000,STR-223365
DKT-056,"Cemani Siregar, S.E.I",Penyakit Dalam,50000,STR-256574
DKT-057,"Dr. Cakrawala Usada, S.Sos",Anak,40000,STR-386929
DKT-058,"drg. Viktor Jailani, S.E.",Umum,30000,STR-115997
DKT-059,Rahmi Permadi,Jantung,80000,STR-686810
DKT-060,Restu Rajata,Jantung,80000,STR-207348
DKT-061,Ir. Qori Sinaga,Anak,40000,STR-668882
DKT-062,"R. Fitria Sihotang, S.E.",Penyakit Dalam,50000,STR-676051
DKT-063,drg. Vanya Rajasa,Penyakit Dalam,50000,STR-384218
DKT-064,Ilsa Nurdiyanti,Anak,40000,STR-838568
DKT-065,Vanya Prayoga,Mata,45000,STR-397027
DKT-066,"H. Lasmono Aryani, M.Pd",Jantung,80000,STR-356717
DKT-067,Ophelia Kusumo,Anak,40000,STR-174703
DKT-068,"Puti Citra Saragih, S.H.",Penyakit Dalam,50000,STR-743052
DKT-069,Arsipatra Aryani,Penyakit Dalam,50000,STR-666836
DKT-070,Aisyah Suartini,Bedah,60000,STR-153190
DKT-071,"Putri Dongoran, S.Psi",Anak,40000,STR-130401
DKT-072,drg. Jatmiko Hutasoit,Bedah,60000,STR-808308
DKT-073,"dr. Jamalia Tampubolon, M.Ak",Umum,30000,STR-211072
DKT-074,"Maryanto Hakim, S.Sos",Bedah,60000,STR-156413
DKT-075,"Eli Laksmiwati, M.TI.",Umum,30000,STR-547181
DKT-076,Rahmi Habibi,Bedah,60000,STR-287677
DKT-077,Virman Tamba,Saraf,70000,STR-725078
DKT-078,Puti Shakila Maryadi,Jantung,80000,STR-760047
DKT-079,Nasab Santoso,Mata,45000,STR-823648
DKT-080,Gilda Hastuti,Saraf,70000,STR-567493
